dataset_name,quality_bin,algorithm,n_runs,dataset_norm_state_cov,dataset_norm_sa_cov,dataset_state_entropy,dataset_avg_return,dataset_success_rate,mean_run_return,std_run_return,ci95_run_return_low,ci95_run_return_high,mean_run_success_rate,std_run_success_rate,ci95_run_success_rate_low,ci95_run_success_rate_high,mean_ood_action_rate_step,mean_support_overlap_rate_unique_sa,mean_eval_sa_coverage_wrt_dataset_support,mean_support_distance_proxy,mean_q_over_rate,mean_q_over_mean_excess,notes
envA_v2_small_wide_medium,medium,bc,20,0.405970,0.205224,7.8425,-0.1779,0.7481,0.3265,0.3124,0.1803,0.4727,0.9500,0.2236,0.8453,1.0547,0.000000,1.000000,0.105636,0.000000,,,mechanism summary; 20-seed aggregate
envA_v2_small_wide_medium,medium,cql,20,0.405970,0.205224,7.8425,-0.1779,0.7481,0.3970,0.0098,0.3924,0.4016,1.0000,0.0000,1.0000,1.0000,0.000000,1.000000,0.109636,0.000000,0.011029,0.007360,mechanism summary; 20-seed aggregate
envA_v2_small_narrow_medium,medium,bc,20,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,0.0000,0.2700,0.2700,1.0000,0.0000,1.0000,1.0000,0.000000,1.000000,0.453416,0.000000,,,mechanism summary; 20-seed aggregate
envA_v2_small_narrow_medium,medium,cql,20,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,0.0000,0.2700,0.2700,1.0000,0.0000,1.0000,1.0000,0.000000,1.000000,0.453416,0.000000,0.071250,0.019554,mechanism summary; 20-seed aggregate
envA_v2_large_wide_medium,medium,bc,20,0.417910,0.212313,7.8420,-0.1687,0.7600,0.4010,0.0102,0.3962,0.4058,1.0000,0.0000,1.0000,1.0000,0.000000,1.000000,0.105273,0.000000,,,mechanism summary; 20-seed aggregate
envA_v2_large_wide_medium,medium,cql,20,0.417910,0.212313,7.8420,-0.1687,0.7600,0.3990,0.0102,0.3942,0.4038,1.0000,0.0000,1.0000,1.0000,0.000000,1.000000,0.105624,0.000000,0.011072,0.007266,mechanism summary; 20-seed aggregate
envA_v2_large_narrow_medium,medium,bc,20,0.119403,0.060075,6.2188,-0.2228,0.7259,0.2700,0.0000,0.2700,0.2700,1.0000,0.0000,1.0000,1.0000,0.000000,1.000000,0.453416,0.000000,,,mechanism summary; 20-seed aggregate
envA_v2_large_narrow_medium,medium,cql,20,0.119403,0.060075,6.2188,-0.2228,0.7259,0.2700,0.0000,0.2700,0.2700,1.0000,0.0000,1.0000,1.0000,0.000000,1.000000,0.453416,0.000000,0.068125,0.019731,mechanism summary; 20-seed aggregate
envA_v2_quality_random_wide50k,random,bc,20,0.438806,0.381716,6.0245,-1.0000,0.0000,-1.0000,0.0000,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.000000,1.000000,0.001466,0.000000,,,mechanism summary; 20-seed aggregate
envA_v2_quality_random_wide50k,random,cql,20,0.438806,0.381716,6.0245,-1.0000,0.0000,-1.0000,0.0000,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.000000,1.000000,0.001466,0.000000,1.000000,1.074288,mechanism summary; 20-seed aggregate
envA_v2_quality_suboptimal_wide50k,suboptimal,bc,20,0.410448,0.207836,7.8102,-0.5873,0.3872,0.3930,0.0306,0.3787,0.4073,1.0000,0.0000,1.0000,1.0000,0.000000,1.000000,0.108977,0.000000,,,mechanism summary; 20-seed aggregate
envA_v2_quality_suboptimal_wide50k,suboptimal,cql,20,0.410448,0.207836,7.8102,-0.5873,0.3872,0.0505,0.6223,-0.2408,0.3418,0.7500,0.4443,0.5421,0.9579,0.000000,1.000000,0.092998,0.000000,0.164364,0.025917,mechanism summary; 20-seed aggregate
envA_v2_quality_medium_wide50k,medium,bc,20,0.410448,0.207836,7.8405,-0.1926,0.7379,0.4000,0.0103,0.3952,0.4048,1.0000,0.0000,1.0000,1.0000,0.000000,1.000000,0.107720,0.000000,,,mechanism summary; 20-seed aggregate
envA_v2_quality_medium_wide50k,medium,cql,20,0.410448,0.207836,7.8405,-0.1926,0.7379,0.3315,0.3136,0.1848,0.4782,0.9500,0.2236,0.8453,1.0547,0.000000,1.000000,0.103321,0.000000,0.017455,0.008506,mechanism summary; 20-seed aggregate
envA_v2_quality_expert_wide50k,expert,bc,20,0.388060,0.151493,7.8200,0.2229,0.9774,0.3960,0.0094,0.3916,0.4004,1.0000,0.0000,1.0000,1.0000,0.000000,1.000000,0.148768,0.000000,,,mechanism summary; 20-seed aggregate
envA_v2_quality_expert_wide50k,expert,cql,20,0.388060,0.151493,7.8200,0.2229,0.9774,0.3890,0.0433,0.3687,0.4093,1.0000,0.0000,1.0000,1.0000,0.000000,1.000000,0.150492,0.000000,0.007692,0.004871,mechanism summary; 20-seed aggregate
envA_v2_quality_mixed_wide50k,mixed,bc,20,0.604478,0.424627,7.9413,-0.2851,0.6162,0.3930,0.0073,0.3896,0.3964,1.0000,0.0000,1.0000,1.0000,0.000000,1.000000,0.053339,0.000000,,,mechanism summary; 20-seed aggregate
envA_v2_quality_mixed_wide50k,mixed,cql,20,0.604478,0.424627,7.9413,-0.2851,0.6162,0.3930,0.0073,0.3896,0.3964,1.0000,0.0000,1.0000,1.0000,0.000000,1.000000,0.053339,0.000000,0.005432,0.003736,mechanism summary; 20-seed aggregate
